CP-Line #,Source,SubClass, Name,"Synonym, common name, synthetic identifier",IUPAC (reference standard),IUPAC  (Omic),InChiKey  (reference standard),InChiKey (Omic),Monoisotopic Mass g/mol,Molecular Formula (reference standard),Molecular Formula (Omic),Formula wt (g/mol),Molecular Weight,CAS (reference standard),CAS (Omic),"Commercial, Synthetic, or Putative",HMDB (reference standard),HMDB (Omic),PUBCHEM (reference standard),PUBCHEM (omic),CORE Packet (CP)
121,Fed,flavonol,"3,5-dimethylquercetin","3,5-Di-O-methylquercetin; Caryatin","2-(3,4-dihydroxyphenyl)-7-hydroxy-3,5-dimethoxychromen-4-one","2-(3,4-dihydroxyphenyl)-7-hydroxy-3,5-dimethoxychromen-4-one",AOFQCVDYMNHCKD-UHFFFAOYSA-N,AOFQCVDYMNHCKD-UHFFFAOYSA-N,330.073953,C17H14O7,C17H14O7,330.29,330.29,1486-66-4,1486-66-4,Commercial,HMDB0037351,HMDB0037351,5489501,5489501,CP03
171,Metabolite,isoflavone metabolite,Daidzein-4-O-glucuronide,Daidzein 4'-O-glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-(7-hydroxy-4-oxochromen-3-yl)phenoxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-(7-hydroxy-4-oxochromen-3-yl)phenoxy]oxane-2-carboxylic acid",ATUYSKUVHUPXBV-ZFORQUDYSA-N,ATUYSKUVHUPXBV-ZFORQUDYSA-N,430.089997,C21H18O10,C21H18O10,430.4,430.4,264236-77-3,264236-77-3,Commercial,HMDB41717,HMDB41717,23930394,23930394,CP04
189,metabolite,benzyl alcohol,"3,5-dimethoxybenzyl alcohol","(3,5-dimethoxyphenyl)methanol","(3,5-dimethoxyphenyl)methanol","(3,5-dimethoxyphenyl)methanol",AUDBREYGQOXIFT-UHFFFAOYSA-N,AUDBREYGQOXIFT-UHFFFAOYSA-N,168.078644,C9H12O3,C9H12O3,168.192,168.192,705-76-0,705-76-0,Commercial,N/A,N/A,69718,69718,CP1
208,Fed,Vitamin,Riboflavine,Riboflavin,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2H,3H,4H,10H-benzo[g]pteridine-2,4-dione","7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2H,3H,4H,10H-benzo[g]pteridine-2,4-dione",AUNGANRZJHBGPY-SCRDCRAPSA-N,AUNGANRZJHBGPY-SCRDCRAPSA-N,376.1382844,C17H20N4O6,C17H20N4O6,376.36,376.36,83-88-5,83-88-5,data not pulled from DB,HMDB0000244,HMDB0000244,493570 ,493570 ,CP05
174,Metabolite,isoflavone metabolite,Daidzein-7-sulfate,Daidzein 7-O-sulfate,[3-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,[3-(4-hydroxyphenyl)-4-oxochromen-7-yl] hydrogen sulfate,AUXMRGLXSPIQNV-UHFFFAOYSA-N,AUXMRGLXSPIQNV-UHFFFAOYSA-N,334.0147238,C15H10O7S,C15H10O7S,334.3,334.3,688025-49-2,688025-49-2,Commercial,N/A,N/A,12114465,12114465,CP04
186,Metabolite,hesperetin metabolites,Hesperetin-3-O-sulfate ,Hesperetin-3′-O-sulfate ,"[5-(5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl)-2-methoxyphenyl] hydrogen sulfate","[5-(5,7-dihydroxy-4-oxo-2,3-dihydrochromen-2-yl)-2-methoxyphenyl] hydrogen sulfate",AXWNOFHBYPBYNO-UHFFFAOYSA-N,AXWNOFHBYPBYNO-UHFFFAOYSA-N,382.0358527,C16H14O9S,C16H14O9S,382.342,382.342,No CAS,No CAS,Commercial,HMDB29202,HMDB29202,131750808  ,131750808  ,CP03
37,Estradiol Metabolites,Estradiol Metabolites,4-methoxyestradiol,4-Methoxy-17beta-estradiol,"(8R,9S,13S,14S,17S)-4-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","(8R,9S,13S,14S,17S)-4-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",BCWZIZLVBYHFES-PYEWSWHRSA-N,BCWZIZLVBYHFES-PYEWSWHRSA-N,302.188195,C19H26O3,C19H26O3,302.4,302.4,26788-23-8,26788-23-8,Not Established,HMDB0012782,HMDB0012782,68578 ,68578 ,CP2
187,Metabolite,flavanone metabolite,Naringenin-7-O-glucuronide,Naringenin 7-O-Glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-7-yl]oxy]oxane-2-carboxylic acid",BDCRTIDKZGEVEN-DNPGXZAYSA-N,BDCRTIDKZGEVEN-DNPGXZAYSA-N,448.100561,C21H20O11,C21H20O11,448.4,448.4,N/A,N/A,Commercial,HMDB0041761,HMDB0041761,51136360 ,51136360 ,CP04
269,Metabolite,beta-Sitosteryl metabolites,beta-Sitosterol-O-glucuronide,"Methyl (3S,6R)-6-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylate","methyl (3S,6R)-6-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylate","methyl (3S,6R)-6-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylate",BFBBMJBDORNZLN-BGFTZSMASA-N,BFBBMJBDORNZLN-BGFTZSMASA-N,604.433904,C36H60O7,C36H60O7,604.9,604.9,No CAS,No CAS,Commercial,N/A,N/A,46782928,46782928,CP03
321,metabolite,glutamic acid,benzoylglutamic acid   ,H-Glu(OBzl)-OH; L-Glutamic acid 5-benzyl ester,(2S)-2-amino-5-oxo-5-phenylmethoxypentanoic acid,(2S)-2-amino-5-oxo-5-phenylmethoxypentanoic acid,BGGHCRNCRWQABU-JTQLQIEISA-N,BGGHCRNCRWQABU-JTQLQIEISA-N,237.100108,C12H15NO4,C12H15NO4,237.26,237.26,1676-73-9  ,1676-73-9  ,commercial,N/A,N/A,122337,122337,CP1
170,metabolite,benzoic acid methyl ester,"3,4-dimethoxybenzoic acid methyl ester   ","methyl 3,4-dimethoxybenzoate","methyl 3,4-dimethoxybenzoate","methyl 3,4-dimethoxybenzoate",BIGQPYZPEWAPBG-UHFFFAOYSA-N,BIGQPYZPEWAPBG-UHFFFAOYSA-N,196.073559,C10H12O4,C10H12O4,196.20,196.20,2150-38-1,2150-38-1,commercial,N/A,N/A,16522,16522,CP1
198,Metabolite,carboxylic acid,2-isopropylmalate,alpha-isopropylmalate,2-hydroxy-2-propan-2-ylbutanedioic acid,2-hydroxy-2-propan-2-ylbutanedioic acid,BITYXLXUCSKTJS-UHFFFAOYSA-N,BITYXLXUCSKTJS-UHFFFAOYSA-N,176.0684735,C7H12O5,C7H12O5,176.168,176.168,3237-44-3,3237-44-3,Commercial,HMDB0000402,HMDB0000402,77,77,CP1
205,fed/metabolite,carboxylic acid,malic acid,2-hydroxybutanedioic acid,2-hydroxybutanedioic acid,2-hydroxybutanedioic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,BJEPYKJPYRNKOW-UHFFFAOYSA-N,134.0215233,C4H6O5,C4H6O5,134.0874,134.0874,6915-15-7,6915-15-7,Commercial,HMDB0000744,HMDB0000744,525,525,CP1
411,metabolite,phenylpropanoic acid,3-(3-methoxyphenyl)propanoic acid   ,3-methoxybenzenepropanoic acid,3-(3-methoxyphenyl)propanoic acid,3-(3-methoxyphenyl)propanoic acid,BJJQJLOZWBZEGA-UHFFFAOYSA-N,BJJQJLOZWBZEGA-UHFFFAOYSA-N,180.0786443,C10H12O3,C10H12O3,180.203,180.203,10516-71-9,10516-71-9,commercial,HMDB0011751,HMDB0011751,66336,66336,CP1
410,metabolite,phenylpropanoic acid,3-(3-methoxy-4-hydroxyphenyl)propanoic acid   ,4-hydroxy-3-methoxyphenylpropionic acid,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,BOLQJTPHPSDZHR-UHFFFAOYSA-N,BOLQJTPHPSDZHR-UHFFFAOYSA-N,196.073559,C10H12O4,C10H12O4,196.2,196.2,1135-23-5,1135-23-5,commercial,HMDB0062121,HMDB0062121,14340,14340,CP1
389,metabolite,phenylacetic acid,"4-hydroxy-3,5-dimethoxyphenylacetic acid   ","3,5-dimethoxy-4-hydroxyphenylacetic acid","2-(4-hydroxy-3,5-dimethoxyphenyl)acetic acid","2-(4-hydroxy-3,5-dimethoxyphenyl)acetic acid",BQBQKSSTFGCRQL-UHFFFAOYSA-N  ,BQBQKSSTFGCRQL-UHFFFAOYSA-N  ,212.0684735,C10H12O5,C10H12O5,212.2,212.2,4385-56-2,4385-56-2,commercial,HMDB0131424,HMDB0131424,78093,78093,CP1
246,metabolite,cinnamic acid,4-hydroxycinnamic acid-3-O-glucuronide,"Caffeic Acid-3-β-D-Glucuronide; 3,4-dihydroxycinnamic acid-3-O-Glucuronide","(2S,3S,4S,5R,6S)-6-[5-[(E)-2-carboxyethenyl]-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[5-[(E)-2-carboxyethenyl]-2-hydroxyphenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",BSOMSDFTZKNUHY-ZYZFHZPYSA-N,BSOMSDFTZKNUHY-ZYZFHZPYSA-N,356.074347,C15H16O10,C15H16O10,356.28,356.28,1093679-73-2,1093679-73-2,synthetic,N/A,N/A,25171992,25171992,CP1
56,metabolite,benzaldehyde,"2,4,6-trihydroxybenzaldehyde",Phloroglucinaldehyde; Phloroglucinaldehyde,"2,4,6-trihydroxybenzaldehyde","2,4,6-trihydroxybenzaldehyde",BTQAJGSMXCDDAJ-UHFFFAOYSA-N ,BTQAJGSMXCDDAJ-UHFFFAOYSA-N ,154.026609,C7H6O4,C7H6O4,154.121,154.121,487-70-7,487-70-7,commercial,HMDB0125090,HMDB0125090,68099,68099,CP1
273,metabolite,flavan-3-ol,(−)-epicatechin-3′-O-glucuronide,epicatechin-3'-β-d-glucuronide; E3'G,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenoxy]oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[2-hydroxy-5-[(2R,3R)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl]phenoxy]oxane-2-carboxylic acid",BUONZQIZWIITTB-CVPXIJHMSA-N,BUONZQIZWIITTB-CVPXIJHMSA-N,466.1111262,C21H22O12,C21H22O12,466.3922,466.3922,No CAS,No CAS,synthetic,HMDB41728,HMDB41728,76969982,76969982,CP1
171,Metabolite,catechin metabolites,Catechin-3-O-glucuronide,Catechin 3'-glucuronide,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-{2-hydroxy-5-[(2R,3S)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl]phenoxy}oxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-{2-hydroxy-5-[(2R,3S)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl]phenoxy}oxane-2-carboxylic acid",BUONZQIZWIITTB-FSDQAXRCSA-N,BUONZQIZWIITTB-FSDQAXRCSA-N,466.111126148,C21H22O12,C21H22O12,466.395,466.395,853728-25-3,853728-25-3,Commercial,HMDB0127728,HMDB0127728,n/a,n/a,CP03
191,metabolite,benzyl alcohol,4-hydroxybenzyl alcohol   ,4-Hydroxybenzenemethanol,4-(hydroxymethyl)phenol,4-(hydroxymethyl)phenol,BVJSUAQZOZWCKN-UHFFFAOYSA-N,BVJSUAQZOZWCKN-UHFFFAOYSA-N,124.0524295,C7H8O2,C7H8O2,124.14,124.14,623-05-2,623-05-2,commercial,HMDB0011724,HMDB0011724,125,125,CP1
174,metabolite,benzoic acid methyl ester,4-hydroxy-3-methoxybenzoic acid methyl ester   ,Methyl 4-hydroxy-3-methoxybenzoate; Methyl vanillate,methyl 4-hydroxy-3-methoxybenzoate,methyl 4-hydroxy-3-methoxybenzoate,BVWTXUYLKBHMOX-UHFFFAOYSA-N,BVWTXUYLKBHMOX-UHFFFAOYSA-N,182.0579088,C9H10O4,C9H10O4,182.17,182.17,3943-74-6,3943-74-6,commercial,HMDB0240266,HMDB0240266,19844,19844,CP1
384,metabolite,phenylacetic acid,3-hydroxy-4-methoxyphenylacetic acid   ,4-methoxy-3-hydroxyphenylacetic acid; homovanillic acid; isohomovanillic acid,2-(3-hydroxy-4-methoxyphenyl)acetic acid,2-(3-hydroxy-4-methoxyphenyl)acetic acid,BWXLCOBSWMQCGP-UHFFFAOYSA-N,BWXLCOBSWMQCGP-UHFFFAOYSA-N,182.0579088,C9H10O4,C9H10O4,182.17,182.17,1131-94-8,1131-94-8,commercial,HMDB0000333,HMDB0000333,160562,160562,CP1
505,metabolite,valeric acid,5-phenyl valeric acid,"5-Phenylvaleric Acid, 5-PhenValA",5-phenylpentanoic acid,5-phenylpentanoic acid,BYHDDXPKOZIZRV-UHFFFAOYSA-N,BYHDDXPKOZIZRV-UHFFFAOYSA-N,178.0993797,C11H14O2,C11H14O2,178.23,178.23,2270-20-4,2270-20-4,commercial,HMDB0002043,HMDB0002043,16757,16757,CP1
479,metabolite,xanthine,"1,3,7-trimethyluric acid   ","1,3,7-trimethylurate; 8-oxo-caffeine; (caffeine metabolite)","1,3,7-trimethyl-9H-purine-2,6,8-trione","1,3,7-trimethyl-9H-purine-2,6,8-trione",BYXCFUMGEBZDDI-UHFFFAOYSA-N,BYXCFUMGEBZDDI-UHFFFAOYSA-N,210.0752902,C8H10N4O3,C8H10N4O3,210,210,5415-44-1,5415-44-1,commercial,HMDB0002123,HMDB0002123,79437,79437,CP1
540,metabolite,Phenylethanol,4-hydroxyphenylethanol-3-sulfate,2-(4-hydroxyphenyl)ethanol-3-sulfate sodium salt; hydroxy tyrosol 3-sulfate sodium salt,sodium;[2-hydroxy-5-(2-hydroxyethyl)phenyl] sulfate,2-hydroxy-5-(2-hydroxyethyl)phenyl] sulfate,NWLNTWKHLLVJBQ-UHFFFAOYSA-M,BZTHVCCNFBAISK-UHFFFAOYSA-N,234.019809,C₈H₉NaO₆S,C8H10O6S,256.21,234.23,1391053-88-5,NA,commercial,NA,NA,71749403,NA,CP1
71,biochanin A metabolite,biochanin A metabolite,angolensin,N/A,"1-(2,4-dihydroxyphenyl)-2-(4-methoxyphenyl)propan-1-one ","1-(2,4-dihydroxyphenyl)-2-(4-methoxyphenyl)propan-1-one ",CCOJFDRSZSSKOG-UHFFFAOYSA-N ,CCOJFDRSZSSKOG-UHFFFAOYSA-N ,272.104859,C16H16O4,C16H16O4,272.29,272.29,642-39-7,642-39-7,Not Established,N/A,N/A,3584988 ,3584988 ,CP2
40,metabolite,anthocyanin,petunidin-3-glucoside  ,petunidin 3-O-glucoside chloride; Pet-Ogluc,"(2S,3R,4S,5S,6R)-2-[2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;chloride","(2S,3R,4S,5S,6R)-2-[2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",HBKZHMZCXXQMOX-YATQZQGFSA-N,CCQDWIRWKWIUKK-QKYBYQKWSA-O,479.1189512,C22H23ClO12,C22H23O12+,514.864,479.411,6988-81-4,71991-88-3,commercial,HMDB0038097,HMDB0038097,176449,443651,CP1
43,metabolite,anthocyanin,petunidin-3-galactoside,Petunidin-3-O-galactoside chloride,"2-[2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol;chloride","2-[2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxychromenylium-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",HBKZHMZCXXQMOX-UHFFFAOYSA-N,CCQDWIRWKWIUKK-UHFFFAOYSA-O,479.118951,C22H23ClO12,C22H23O12+,514.9,479.414,28500-02-9,NA,commercial,N/A,N/A,14311148,14311149,CP1
381,metabolite,phenylacetic acid,2-hydroxyphenylacetic acid   ,Benzeneacetic acid,2-(2-hydroxyphenyl)acetic acid,2-(2-hydroxyphenyl)acetic acid,CCVYRRGZDBSHFU-UHFFFAOYSA-N,CCVYRRGZDBSHFU-UHFFFAOYSA-N,152.0473441,C8H8O3,C8H8O3,152.1473,152.1473,614-75-5,614-75-5,commercial,HMDB0000669,HMDB0000669,11970,11970,CP1
324,Metabolite,resveratrol metabolites,cis-resveratrol-4-O-glucuronide,cis-resveratrol-4-O-glucuronide,"(2S,3S,4S,5R,6S)-6-[4-[(Z)-2-(3,5-dihydroxyphenyl)ethenyl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[4-[(Z)-2-(3,5-dihydroxyphenyl)ethenyl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",CDEBVTGYVFHDMA-BMPGWQKJSA-N,CDEBVTGYVFHDMA-BMPGWQKJSA-N,404.1107322,C20H20O9,C20H20O9,404.3674,404.3674,387372-26-1,387372-26-1,Commercial,HMDB0041713,HMDB0041713,71752003,71752003,CP03
323,Metabolite,resveratrol metabolites,trans-resveratrol-4-O-glucuronide,trans-resveratrol-4-O-glucuronide,"(2S,3S,4S,5R,6S)-6-[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6S)-6-[4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",CDEBVTGYVFHDMA-OTPOQTMVSA-N,CDEBVTGYVFHDMA-OTPOQTMVSA-N,404.1107322,C20H20O9,C20H20O9,404.3674,404.3674,387372-20-5,387372-20-5,Commercial,HMDB0041783,HMDB0041783,5273284,5273284,CP03
304,Metabolite,coumarin metbolites,5-hydroxycoumarin,5-hydroxycoumarin; 5-hydroxy-2H-chromen-2-one,5-hydroxychromen-2-one,5-hydroxychromen-2-one,CDHSCTCRBLLCBJ-UHFFFAOYSA-N,CDHSCTCRBLLCBJ-UHFFFAOYSA-N,162.0316941,C9H6O3,C9H6O3,162.144,162.144,6093-67-0,6093-67-0,Commercial,HMDB0136738,HMDB0136738,5318179,5318179,CP03
382,metabolite,phenylacetic acid,"3,4-dihydroxyphenylacetic acid","DOPAC; 3,4-Dihydroxybenzeneacetic acid","2-(3,4-dihydroxyphenyl)acetic acid","2-(3,4-dihydroxyphenyl)acetic acid",CFFZDZCDUFSOFZ-UHFFFAOYSA-N,CFFZDZCDUFSOFZ-UHFFFAOYSA-N,168.0422587,C8H8O4,C8H8O4,168.146,168.146,102-32-9,102-32-9,commercial,HMDB01336,HMDB01336,547,547,CP1
14,Diet/Food, coumestans,"7,10,12-Trihydroxycoumestan",Repensol,"3,7,9-trihydroxy-[1]benzofuro[3,2-c]chromen-6-one","3,7,9-trihydroxy-[1]benzofuro[3,2-c]chromen-6-one",CFUAZBGEKBTCSH-UHFFFAOYSA-N,CFUAZBGEKBTCSH-UHFFFAOYSA-N,284.032088,C15H8O6,C15H8O6,284.22,284.22,33280-69-2,33280-69-2,Not Established,HMDB0034138,HMDB0034138,44257533,44257533,CP2
84,Enterodiol Metabolite,Enterodiol Metabolite,Enterolactone 3'-sulfate,Enterolactone sulfate,"(3-{[(3S,4S)-4-[(3-hydroxyphenyl)methyl]-2-oxooxolan-3-yl]methyl}phenyl)oxidanesulfonic acid","(3-{[(3S,4S)-4-[(3-hydroxyphenyl)methyl]-2-oxooxolan-3-yl]methyl}phenyl)oxidanesulfonic acid",CGSFDOCYHBJLFW-PBHICJAKSA-N,CGSFDOCYHBJLFW-PBHICJAKSA-N,378.0773241,C18H18O7S,C18H18O7S,378.4,378.4,No CAS,No CAS,Not Established,HMDB0240505,HMDB0240505,N/A,N/A,CP2
